Age group,State,City,Location,Activity,Duration,Budget,Rating
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Boating,1,306,1
21-25,Texas,Austin,The State Capitol,Boating,2,324,2
26-30,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,7,1301,3
51-55,Washington,Spokane,Manito Park,Visit Historical Sites,4,805,3
46-50,Iowa,Des Moines,Iowa State Capitol,Sightseeing,9,1715,3
36-40,Michigan,Detroit,The Detroit Institute of Arts,Theme Parks,2,434,1
51-55,Tennessee,Nashville,Grand Ole Opry,Hiking,14,2726,5
46-50,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,13,2619,4
31-35,New Mexico,Santa Fe,Santa Fe Plaza,Theme Parks,2,379,4
41-45,Washington,Spokane,Manito Park,Sightseeing,9,1831,2
31-35,Tennessee,Nashville,Grand Ole Opry,Sightseeing,4,845,1
26-30,Florida,Miami,Everglades,Museum,9,1453,1
56-60,California,San Francisco,Alcatraz Island,Boating,13,3465,3
51-55,Colorado,Denver,Rocky Mountain National Park,Hiking,6,1206,5
56-60,Tennessee,Memphis,Graceland,Museum,10,3034,3
31-35,Nebraska,Lincoln,Sunken Gardens,Sightseeing,12,1848,2
26-30,Florida,Orlando,Walt Disney World,Visit Historical Sites,12,1601,2
21-25,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,7,966,5
31-35,Washington,Spokane,Manito Park,Museum,7,1109,1
36-40,Oregon,Portland,Portland Japanese Garden,Sightseeing,12,2670,3
36-40,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,14,2612,3
41-45,California,San Diego,San Diego Zoo,Visit Historical Sites,8,1573,2
21-25,Texas,Dallas,The Sixth Floor Museum,Boating,8,1125,1
36-40,Massachusetts,Boston,Fenway Park,Museum,9,1492,4
21-25,Washington,Seattle,Pike Place Market,Boating,10,1513,1
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Boating,3,749,4
61-65,Iowa,Des Moines,Iowa State Capitol,Theme Parks,11,2778,2
36-40,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,12,1994,1
46-50,California,San Diego,San Diego Zoo,Theme Parks,4,1026,3
36-40,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,3,472,5
51-55,Nebraska,Lincoln,Sunken Gardens,Hiking,1,266,1
41-45,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,2,349,3
46-50,Florida,Orlando,Universal Studios,Museum,12,2413,5
46-50,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,7,1848,4
36-40,Nebraska,Omaha,Henry Doorly Zoo,Boating,5,1097,3
26-30,New Mexico,Santa Fe,Santa Fe Plaza,Boating,3,479,4
31-35,California,Los Angeles,Hollywood,Sightseeing,6,973,4
21-25,Nevada,Reno,Lake Tahoe,Museum,13,2269,4
41-45,Texas,Dallas,The Sixth Floor Museum,Theme Parks,2,383,4
41-45,Texas,Austin,The State Capitol,Museum,1,216,3
66-70,Florida,Orlando,Walt Disney World,Sightseeing,4,1114,2
56-60,New Mexico,Santa Fe,Santa Fe Plaza,Museum,5,1292,1
66-70,Oregon,Portland,Portland Japanese Garden,Boating,5,1507,3
56-60,Tennessee,Memphis,Graceland,Theme Parks,13,3306,5
36-40,New York,Buffalo,Buffalo Zoo,Boating,9,1958,2
41-45,Washington,Seattle,Space Needle,Boating,10,2391,5
26-30,Michigan,Detroit,The Detroit Institute of Arts,Boating,9,1404,5
21-25,Tennessee,Nashville,Grand Ole Opry,Boating,5,756,3
46-50,Michigan,Ann Arbor,University of Michigan,Museum,8,1582,3
56-60,Nevada,Las Vegas,Red Rock Canyon,Museum,6,1793,1
21-25,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,12,1812,5
26-30,New York,Buffalo,Niagara Falls,Museum,5,874,1
51-55,Nebraska,Omaha,Henry Doorly Zoo,Boating,4,947,3
21-25,New York,New York City,Empire State Building,Theme Parks,10,1403,5
21-25,Florida,Miami,Everglades,Visit Historical Sites,4,675,4
51-55,Tennessee,Nashville,Grand Ole Opry,Sightseeing,11,2431,3
26-30,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,5,691,2
66-70,Colorado,Denver,Rocky Mountain National Park,Hiking,1,281,4
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,5,1055,1
51-55,Nevada,Reno,Lake Tahoe,Museum,4,919,3
21-25,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,3,466,4
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,7,2237,4
26-30,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,6,805,2
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,12,1759,4
51-55,New York,Buffalo,Buffalo Zoo,Visit Historical Sites,3,627,5
46-50,Texas,Dallas,The Sixth Floor Museum,Theme Parks,12,2806,3
56-60,Massachusetts,Cambridge,Harvard University,Museum,11,3130,2
56-60,Texas,Dallas,The Sixth Floor Museum,Sightseeing,12,3649,1
21-25,Indiana,Bloomington,Monroe Lake,Boating,9,1220,1
61-65,Oregon,Portland,Portland Japanese Garden,Hiking,13,3637,5
26-30,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,11,1694,3
26-30,New York,Buffalo,Buffalo Zoo,Theme Parks,2,361,3
66-70,Florida,Miami,Miami Beach,Museum,7,1710,2
31-35,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,1,216,1
51-55,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,13,3390,3
66-70,Florida,Miami,Everglades,Hiking,3,1011,1
51-55,Massachusetts,Cambridge,Harvard University,Sightseeing,9,2277,1
26-30,Massachusetts,Boston,Freedom Trail,Museum,6,1160,3
31-35,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,3,647,3
36-40,Washington,Spokane,Manito Park,Hiking,10,2129,5
61-65,Massachusetts,Boston,Fenway Park,Theme Parks,1,235,3
41-45,Washington,Spokane,Manito Park,Theme Parks,2,455,5
51-55,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,9,1845,4
41-45,New York,Buffalo,Niagara Falls,Sightseeing,6,1056,4
46-50,California,Los Angeles,Santa Monica Pier,Hiking,11,2226,4
46-50,New Mexico,Santa Fe,Santa Fe Plaza,Boating,9,1876,2
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,1,280,4
31-35,California,Los Angeles,Santa Monica Pier,Boating,10,1704,3
36-40,Michigan,Detroit,The Detroit Institute of Arts,Sightseeing,4,707,3
21-25,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,1,149,4
41-45,Michigan,Ann Arbor,University of Michigan,Boating,5,937,4
56-60,Nevada,Reno,Lake Tahoe,Boating,4,1034,4
36-40,Colorado,Boulder,Boulder Creek Path,Hiking,10,1642,2
56-60,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,7,1987,3
26-30,Florida,Orlando,Universal Studios,Visit Historical Sites,13,1939,1
21-25,Nevada,Reno,Lake Tahoe,Visit Historical Sites,3,522,1
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,5,1115,4
31-35,Tennessee,Nashville,Grand Ole Opry,Museum,10,1699,2
36-40,New York,New York City,Central Park,Hiking,8,1550,1
31-35,Nevada,Reno,Lake Tahoe,Boating,8,1265,5
51-55,Florida,Orlando,Walt Disney World,Visit Historical Sites,6,1224,3
51-55,Iowa,Des Moines,Iowa State Capitol,Visit Historical Sites,6,1460,2
36-40,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,9,2074,5
66-70,Iowa,Des Moines,Iowa State Capitol,Boating,5,1388,3
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,7,1478,3
61-65,Texas,Austin,The State Capitol,Sightseeing,8,2195,5
51-55,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,3,841,3
31-35,New Mexico,Santa Fe,Santa Fe Plaza,Museum,3,521,4
61-65,Florida,Orlando,Walt Disney World,Visit Historical Sites,7,2127,4
61-65,New York,New York City,Empire State Building,Museum,13,2939,1
56-60,Iowa,Des Moines,Iowa State Capitol,Boating,2,556,4
46-50,Massachusetts,Boston,Freedom Trail,Museum,4,944,4
56-60,Arizona,Phoenix,Desert Botanical Garden,Sightseeing,6,1561,3
41-45,Nevada,Reno,Lake Tahoe,Museum,6,1081,1
36-40,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,8,1383,2
31-35,California,San Francisco,Alcatraz Island,Theme Parks,7,1027,5
61-65,Michigan,Ann Arbor,University of Michigan,Theme Parks,11,2467,2
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,7,1161,5
51-55,Illinois,Chicago,Willis Tower,Theme Parks,11,2967,5
21-25,Michigan,Detroit,The Detroit Institute of Arts,Theme Parks,2,320,4
61-65,Arizona,Grand Canyon Village,Grand Canyon,Museum,10,2518,3
41-45,Arizona,Grand Canyon Village,Grand Canyon,Museum,10,2145,5
21-25,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,5,703,1
51-55,Colorado,Denver,Rocky Mountain National Park,Museum,8,2247,1
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,7,2011,5
21-25,Arizona,Phoenix,Desert Botanical Garden,Hiking,10,1485,2
56-60,Arizona,Grand Canyon Village,Grand Canyon,Boating,10,2866,5
51-55,Massachusetts,Boston,Fenway Park,Sightseeing,3,670,3
26-30,Oregon,Eugene,Mount Pisgah,Sightseeing,4,542,1
41-45,Iowa,Des Moines,Iowa State Capitol,Sightseeing,14,2893,3
46-50,Tennessee,Nashville,Grand Ole Opry,Sightseeing,6,1299,3
36-40,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,10,2140,2
46-50,Texas,Austin,Zilker Metropolitan Park,Boating,4,977,4
41-45,Washington,Spokane,Manito Park,Museum,9,1581,2
21-25,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,3,461,1
26-30,Michigan,Detroit,The Detroit Institute of Arts,Hiking,14,2531,5
36-40,Florida,Orlando,Walt Disney World,Sightseeing,12,2463,4
21-25,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,14,1899,5
26-30,Iowa,Des Moines,Iowa State Capitol,Visit Historical Sites,4,688,4
46-50,New York,Buffalo,Buffalo Zoo,Sightseeing,3,623,4
31-35,Nevada,Reno,Lake Tahoe,Visit Historical Sites,11,1989,3
21-25,Nevada,Reno,Lake Tahoe,Visit Historical Sites,10,1483,3
66-70,Oregon,Eugene,Mount Pisgah,Boating,7,1772,1
26-30,Nebraska,Lincoln,Sunken Gardens,Hiking,14,2155,4
21-25,Arizona,Phoenix,Desert Botanical Garden,Hiking,7,1108,4
51-55,Massachusetts,Boston,Freedom Trail,Theme Parks,13,2562,2
51-55,Michigan,Ann Arbor,University of Michigan,Sightseeing,12,2577,1
66-70,Texas,Houston,Space Center,Boating,12,3184,5
21-25,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,9,1470,4
21-25,Oregon,Portland,Portland Japanese Garden,Boating,4,569,4
41-45,Indiana,Bloomington,Monroe Lake,Sightseeing,14,3466,4
66-70,Florida,Miami,Everglades,Boating,2,512,2
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Museum,14,3755,2
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,9,1752,2
31-35,Nevada,Las Vegas,The Strip,Theme Parks,3,588,5
36-40,Massachusetts,Cambridge,Harvard University,Theme Parks,11,2376,4
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,6,1747,1
56-60,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,5,1438,4
66-70,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,12,3203,1
51-55,New York,Buffalo,Buffalo Zoo,Theme Parks,5,1205,4
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,11,2645,3
26-30,Massachusetts,Cambridge,Harvard University,Boating,8,1351,1
46-50,Oregon,Portland,Portland Japanese Garden,Hiking,11,2886,1
31-35,Tennessee,Nashville,Grand Ole Opry,Sightseeing,2,379,3
51-55,Massachusetts,Cambridge,Harvard University,Hiking,3,804,5
26-30,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,4,616,2
26-30,Nevada,Las Vegas,The Strip,Boating,13,1765,4
41-45,Nevada,Las Vegas,The Strip,Hiking,5,965,5
61-65,Florida,Miami,Everglades,Theme Parks,13,3161,3
61-65,Washington,Spokane,Manito Park,Visit Historical Sites,5,1289,5
41-45,Nebraska,Omaha,Henry Doorly Zoo,Museum,3,560,3
26-30,Indiana,Bloomington,Monroe Lake,Theme Parks,13,2293,5
21-25,Washington,Spokane,Manito Park,Museum,8,1397,1
41-45,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,2,451,3
31-35,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,14,2861,1
26-30,Oregon,Portland,Portland Japanese Garden,Boating,13,2113,4
61-65,Washington,Seattle,Space Needle,Hiking,3,966,5
61-65,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,9,2543,3
26-30,Nebraska,Lincoln,Sunken Gardens,Sightseeing,3,484,5
61-65,Nevada,Reno,Lake Tahoe,Boating,11,2445,2
41-45,New York,Buffalo,Niagara Falls,Museum,14,2835,4
46-50,Nebraska,Omaha,Henry Doorly Zoo,Boating,2,523,5
51-55,Tennessee,Nashville,Grand Ole Opry,Theme Parks,8,2301,3
31-35,Iowa,Des Moines,Iowa State Capitol,Boating,5,1009,5
41-45,Colorado,Boulder,Boulder Creek Path,Hiking,9,1810,5
21-25,New York,Buffalo,Buffalo Zoo,Visit Historical Sites,8,1437,1
61-65,Nebraska,Lincoln,Sunken Gardens,Museum,9,2598,1
21-25,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,11,1823,3
36-40,Oregon,Eugene,Mount Pisgah,Boating,10,1679,5
46-50,Texas,Houston,Space Center,Hiking,8,1743,1
41-45,Nevada,Reno,Lake Tahoe,Theme Parks,9,2218,5
26-30,Arizona,Phoenix,Desert Botanical Garden,Museum,6,827,3
36-40,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,2,394,4
66-70,New York,Buffalo,Buffalo Zoo,Theme Parks,14,3897,2
41-45,Massachusetts,Boston,Fenway Park,Theme Parks,1,172,2
31-35,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,6,1208,1
